repo_id,service
108589232,logs
122529924,s3
132053036,logs
135689013,logs
135689013,ssm
145051421,kms
161349809,logs
168772474,rds
170208514,cloudfront
170208514,logs
171566590,cloudfront
176112049,s3
180254310,logs
192776218,logs
194483615,logs
195665043,logs
200129823,logs
201897351,logs
218930285,backup
218930285,events
218930285,logs
218930285,s3
218930285,secretsmanager
218930285,ssm
219575168,logs
224588416,logs
233364188,logs
235482168,logs
236626606,logs
236626606,s3
242067674,logs
242067674,s3
248605700,logs
248605700,s3
260247897,logs
260247897,s3
260871101,secretsmanager
263178418,s3
267145677,s3
271809012,logs
272391209,logs
272508670,kms
273666389,cloudfront
280015773,logs
280832057,logs
282083829,logs
283509910,logs
286960599,logs
289981586,logs
298359533,logs
298359533,s3
302593929,secretsmanager
304205835,logs
308256204,cloudfront
313966580,logs
315174555,kms
318223587,cloudfront
331432868,logs
332581463,logs
338437608,cloudfront
338837459,cloudfront
338941886,cloudfront
341072243,logs
343329142,logs
347079125,logs
353115103,logs
354754318,logs
355035084,logs
358862920,logs
360238600,rds
362298201,logs
364106877,s3
365368484,logs
366615849,cloudfront
368639599,logs
368639599,s3
373539595,kms
377789972,logs
379041958,logs
382521024,logs
386337294,kms
389737747,s3
392251399,logs
394786897,cloudfront
395750597,s3
397338192,secretsmanager
398326063,logs
398411831,logs
401135171,cloudfront
404483141,logs
40509314,logs
413939627,logs
417885811,cloudfront
419840193,logs
422298520,logs
423299916,s3
423768164,cloudfront
424947858,logs
426675969,kms
426675969,logs
426675969,s3
426675969,secretsmanager
429275444,logs
433849824,secretsmanager
440385229,logs
444038614,cloudfront
446269656,s3
446348090,logs
446622402,logs
448355140,logs
451576322,rds
452377112,logs
452377112,s3
452377112,ssm
453631867,logs
469464728,cloudfront
473150430,kms
475025089,logs
475486002,kms
476868353,cloudfront
480942170,kms
480942170,s3
481476702,cloudfront
481571888,cloudfront
482928219,kms
488423247,cloudfront
489362653,rds
495637960,logs
497124036,kms
497124036,logs
497124036,s3
500201832,rds
500228260,rds
500661930,logs
500680662,cloudfront
507664501,cloudfront
508874706,cloudfront
510747932,cloudfront
513876836,logs
514311486,s3
516859982,rds
518126630,backup
518126630,logs
519880571,cloudfront
520871771,s3
520955260,logs
522473971,rds
525291340,cloudfront
525494254,s3
526815063,rds
527649115,logs
530161199,logs
64239118,logs
95243634,logs
97484940,kms
97484940,logs
97484940,s3
97484940,secretsmanager
